Id	AdmLevel	Country	AdmDiv1	AdmDiv2	GadmId	Latitude	Longitude	GadmName
TH__Tak__Tha Song Yang	2	TH	Tak	Tha Song Yang	THA.69.8_1	17.4907793627158	98.113471157787	Tha Song Yang
TH__Ubon Ratchathani__Buntharik	2	TH	Ubon Ratchathani	Buntharik	THA.72.1_1	14.7062111983099	105.40392230123	Buntharik
TH__Ubon Ratchathani__Na Chaluai	2	TH	Ubon Ratchathani	Na Chaluai	THA.72.15_1	14.5671367871985	105.222768901388	Na Chaluai
TH__Ubon Ratchathani__Nam Yuen	2	TH	Ubon Ratchathani	Nam Yuen	THA.72.16_1	14.436870437929	105.073936128067	Nam Yun
VN__Binh Phuoc__Bu Dang	2	VN	Binh Phuoc	Bu Dang	VNM.10.3_1	11.7826205773982	107.218384788553	B<U+00F9> <U+0110><U+0103>ng
VN__Binh Phuoc__Bu Dop	2	VN	Binh Phuoc	Bu Dop	VNM.10.2_1	11.9927330562758	106.821497728621	B<U+00F9> <U+0110><U+1ED1>p
VN__Binh Phuoc__Bu Gia Map	2	VN	Binh Phuoc	Bu Gia Map	VNM.10.4_1	12.0244516840747	107.046827790312	B<U+00F9> Gia M<U+1EAD>p
VN__Binh Phuoc__Dong Xoai	2	VN	Binh Phuoc	Dong Xoai	VNM.10.7_1	11.5197338621893	106.847118296046	<U+0110><U+1ED3>ng Xo<U+00E0>i
VN__Binh Phuoc__Hon Quan	2	VN	Binh Phuoc	Hon Quan	VNM.10.8_1	11.6188333771534	106.612450027735	H<U+1EDB>n Qu<U+1EA3>n
VN__Dak Lak__Buon Don	2	VN	Dak Lak	Buon Don	VNM.15.1_1	12.9024144850326	107.728286650092	Bu<U+00F4>n <U+0110><U+00F4>n
VN__Dak Lak__Buon Ma Thuot	2	VN	Dak Lak	Buon Ma Thuot	VNM.15.2_1	12.658060051552	108.029264867788	Bu<U+00F4>n Ma Thu<U+1ED9>t
VN__Dak Lak__Cu Mgar	2	VN	Dak Lak	Cu Mgar	VNM.15.4_1	12.8851314739759	108.072918043131	C<U+01B0> M'gar
VN__Dak Lak__Ea Hleo	2	VN	Dak Lak	Ea Hleo	VNM.15.5_1	13.2411432864301	108.175452093435	Ea H'leo
VN__Dak Lak__Ea Kar	2	VN	Dak Lak	Ea Kar	VNM.15.6_1	12.8043665646351	108.558464798997	Ea Kar
VN__Dak Lak__Ea Sup	2	VN	Dak Lak	Ea Sup	VNM.15.7_1	13.1876760849439	107.797650025472	Ea S<U+00FA>p
VN__Dak Lak__Krong Nang	2	VN	Dak Lak	Krong Nang	VNM.15.11_1	13.0167748067714	108.393502821392	Kr<U+00F4>ng N<U+0103>ng
VN__Dak Nong__Cu Jut	2	VN	Dak Nong	Cu Jut	VNM.16.1_1	12.6926063009819	107.759825257115	C<U+01B0> J<U+00FA>t
VN__Dak Nong__Tuy Duc	2	VN	Dak Nong	Tuy Duc	VNM.16.8_1	12.1408892229797	107.377392221064	Tuy <U+0110><U+1EE9>c
VN__Gia Lai__Duc Co	2	VN	Gia Lai	Duc Co	VNM.21.7_1	13.7809422102081	107.656442159015	<U+0110><U+1EE9>c C<U+01A1>
VN__Gia Lai__Gia Lai	2	VN	Gia Lai	Gia Lai	VNM.21.17_1	13.951462834563	107.992399149823	Pleiku
VN__Gia Lai__Ia Grai	2	VN	Gia Lai	Ia Grai	VNM.21.10_1	13.9762364716253	107.725248814133	Ia Grai
VN__Gia Lai__Ia Pa	2	VN	Gia Lai	Ia Pa	VNM.21.11_1	13.5314275856623	108.52481814886	Ia Pa
VN__Gia Lai__Kong Chro	2	VN	Gia Lai	Kong Chro	VNM.21.13_1	13.7452303889401	108.590648954077	K<U+00F4>ng Chro
VN__Gia Lai__Krong Pa	2	VN	Gia Lai	Krong Pa	VNM.21.14_1	13.233227228379	108.656415651418	Kr<U+00F4>ng Pa
VN__Khanh Hoa__Cam Lam	2	VN	Khanh Hoa	Cam Lam	VNM.32.1_1	12.0808035560173	109.080568976818	Cam L<U+00E2>m
VN__Khanh Hoa__Khanh Hoa	2	VN	Khanh Hoa	Khanh Hoa	VNM.32.6_1	12.2626848221764	109.16905695671	Nha Trang
VN__Khanh Hoa__Khanh Vinh	2	VN	Khanh Hoa	Khanh Vinh	VNM.32.5_1	12.3122779623188	108.840912319977	Kh<U+00E1>nh V<U+0129>nh
VN__Ninh Thuan__Bac Ai	2	VN	Ninh Thuan	Bac Ai	VNM.43.1_1	11.9030921301353	108.847332614766	B<U+00E1>c <U+00C1>i
VN__Ninh Thuan__Ninh Son	2	VN	Ninh Thuan	Ninh Son	VNM.43.4_1	11.7032649718899	108.729637013855	Ninh S<U+01A1>n
VN__Ninh Thuan__Thuan Bac	2	VN	Ninh Thuan	Thuan Bac	VNM.43.6_1	11.744061502541	109.070557784692	Thu<U+1EAD>n B<U+1EAF>c
VN__Quang Tri__Dakrong	2	VN	Quang Tri	Dakrong	VNM.50.3_1	16.5709850416348	106.942230574705	<U+0110>a Kr<U+00F4>ng
VN__Quang Tri__Dong Ha	2	VN	Quang Tri	Dong Ha	VNM.50.4_1	16.8013610669867	107.088399782249	<U+0110><U+00F4>ng H<U+00E0>
VN__Quang Tri__Huong Hoa	2	VN	Quang Tri	Huong Hoa	VNM.50.7_1	16.7068910370454	106.676351144185	H<U+01B0><U+1EDB>ng H<U+00F3>a
